Site,Switch Name,IP
,DLC-Heston-Lynxight,10.32.12.248
,,
Beaconsfield,DLL-GloryMill-MainComms,10.32.87.253
,DLC-Beaconsfield-MainComms-2,10.32.87.251
,Beaconsfield-Spa,10.32.87.252
,,
Hull,DLC-Hull,10.32.28.253
,DLC-Hull-Lynxight,10.32.28.250
,,
Ipswich,DLC-Ipswich-MainComms,10.32.78.253
,DLC-Ipswich-Lnyxight,172.20.78.252
,DLC-Ipswich-Gym,10.32.78.251
,,
Newbury ,DLL-Newbury-Stack,10.32.203.253
,DLC-Newbury-Gym-SubRack,10.32.203.251
,DLC-Newbury-Lynxight,10.32.203.250
,,
Kensington,DLL-Kensington-MainRack,10.32.31.253
,DLL-Kens-1st,10.32.31.252
,DLL-Kensington-B2,10.32.31.251
,DLC-Kensington-Lynxight,10.32.31.249
,l,
Kidbrooke,DLL-Kidbrooke-MainComms,10.32.44.253
,DLC-Kidbrooke-MainComms-2,10.32.44.251
,DLL-Kidbrooke-Subrack,10.32.44.252
,DLC-Kidbrooke-Lynxight,10.32.44.250
,,
Kingshill,DLC-KingsHill,10.32.66.253
,DLC-KingsHill-Lynxight,10.32.66.252
,,
Kingston,DLC-Kingston,10.32.59.253
,DLC-Kingston-Gym,10.32.59.252
,DLC-Kingston-Lynxight,172.20.59.251
,,
Knowsley,DLL-Knowsley-MainComms,10.32.37.253
,DLC-Knowsley-MainComms-2,10.32.37.251
,DLC-Knowsley-Lynxight,10.32.37.250
,,
Leeds,DLL-Leeds,10.32.19.253
,DLL-Leeds-SubRack,10.32.19.252
,DLL-Leeds-Subrack-X440-48p,10.32.19.251
,DLC-Leeds-MainComms-2,192.168.55.250
,DLC-Leeds-Lynxight,10.32.19.249
,,
Leicester,DLC-Leicester,10.32.25.250
,DLC-Leicester-Lnyxight,172.20.25.252
,DLC-Leicester-Gym,10.32.25.251
,,
Lichfield,DL-Lichfield,10.32.214.253
,DLC-Lichfield-Subrack,10.32.214.252
,DLC-Lichfield-Spa,10.32.214.251
,,10.32.214.49
Lincoln ,DLL-Lincoln-MainComms,
,DLL-Lincoln-MainComms-2,10.32.61.253
,DLC-Lincoln-Lynxight,10.32.61.252
,,10.32.61.251
Luton,DLC-Luton,
,DLC-Luton-Subrack,10.32.54.253
,DLC-Luton-2,10.32.54.250
,,10.32.54.249
Aravaca,DLL-Madrid-MainComms,
,DLL-Madrid,10.32.208.253
,DLL-Mad-BAR,10.32.208.252
,,10.32.208.251
Malaspina,DLC-Malaspina-1,
,DLC-Malaspina-Spa,10.32.227.253
,DLC-Malaspina-2,10.32.227.251
,DLC-Malaspina-AdminOffice,10.32.227.252
,,10.32.227.248
Maidenhead,DLC-Maidenhead,
,DLC-Maidenhead-Lynxight,10.32.52.253
,,10.32.52.252
Manchester,DLL-Manchester-MainComms,10.32.52.49
,DLC-Manchester-Spa,
,DLC-Manchester-MainComms-2,10.32.48.253
,DLC-Manchester-Lynxight,10.32.48.250
,,10.32.48.251
North Manchester,DL-Manchester-North,10.32.48.249
,DLC-ManchesterNorth-Lynxight,
,,10.32.216.253
Northwood,DLL-Northwood,10.36.216.251
,DLC-Northwood-MainComms-2,10.32.216.49
,FemaleChange-X435-24P,
,DLC-Northwood-Gym,10.32.217.253
,DLC-Northwood-Lynxight,10.32.217.251
,,10.32.217.252
Milton Keynes,DLC-MiltonKeynes-MainComms1,10.32.217.249
,DLC-MiltonKeynes-Office,10.32.217.248
,DLC-MiltonKeynes-Spa,
,DLC-MiltonKeynes-Lynxight,10.32.20.253
,,10.32.20.252
Narborough,DLC-Narborough,10.32.20.251
,DLC-Narborough-Gym,10.32.20.250
,DLC-Narborough-Lynxight,10.32.20.49
,,
Newcastle,DLC-Newcastle,192.168.14.253
,DLC-Newcastle-Lynxight,192.168.14.251
,DLC-Newcastle-MainComms2,192.168.14.250
,,192.168.14.49
Edinburgh Newhaven Harbour,DLC-Newhaven-48,
,DLC-Newhaven-Lynxight,10.32.8.253
,,10.32.8.252
Notting Hill Harbour Club,HC-Nottinghill-Maincomms,10.32.8.251
,HC-NottingHill-Subrack,10.32.8.49
,DLC-Nottinghill-Lynxight,
,DLC-NottingHill-MainComms-2,10.32.73.253
,,10.32.73.252
Nottingham,DLC-Nottingham,10.32.73.49
,DLC-Nottingham-Membership,
,DLC-Nottingham-Lynxight,192.168.7.253
,DLC-Nottingham-WiFiSwitch,192.168.7.252
,,192.168.7.251
Oxford,DLC-Oxford,10.32.90.249
,DLC-Oxford-Main-2,10.32.90.49
,,
Peterborough,DL-Peterborough,10.32.32.253
,DLC-Peterborough-Lnyxight,10.32.32.250
,,10.32.32.251
Poole,DLC-Poole-Main-1,10.32.32.249
,DLC-Pool-Main-2,
,DLC-Poole-Plantroom,10.32.63.253
,DLC-Poole-MainComms-SW3,10.32.63.252
,DLC-Poole-Spa,
,,10.32.223.253
Port Solent,DLC-PortSolent,10.32.223.251
,DLC-PortSolent-2,10.32.223.49
,,
Purley,DL-Purley,10.32.219.253
,DLC-Purley-Gym,10.32.219.252
,DLC-Purley-Lynxight,10.32.219.251
,,10.32.219.250
,,10.32.219.249
Raynes Park,DLL-RaynesPark-MainComms,10.32.219.49
,DLL-RaynesPark-GymX48,
,DLC-RayesPark-Office,10.32.53.253
,DLC-RaynesPark-Spa,10.32.53.252
,DLC-Raynes-Lnyxight,
,,10.32.224.253
Reading,DLC-Reading,10.32.224.252
,,10.32.224.251
Ringwood,DLC-Ringwood-SW2,10.32.224.49
,DLC-Ringwood-SW1,
,DLL-Ringwood-Gym,10.32.11.253
,DLC-Ringwood-Lynxight,10.32.11.251
,,10.32.11.249
Royal Berkshire,DL-RoyalBerkshire,10.32.11.250
,DL-RBC-48-2,10.32.11.252
,DL-RBC-24-GYM1,
,DL-RBC-24-GYM2,10.32.13.253
,DLC-RoyalBerkshire-Lnyxight,
,,10.32.18.253
Rotterdam - Blijdorp,DLC-Blijdorp,10.32.18.251
,DLC-Blijdorp-Lynxight,10.32.18.250
,,10.32.18.249
Rotterdam - Akragon,DLC-RotterdamCentrum,
,DLC-RotterdamCentrum-Lynxight,10.32.220.253
,,10.32.220.252
